voteId;issueArea;petitionerState;respondentState;jurisdiction;caseOriginState;caseSourceState;certReason;lcDisposition;decisionDirection
07;5.0;;;1.0;45.0;;3.0;3.0;1.0
08;5.0;;;1.0;45.0;;3.0;3.0;1.0
09;5.0;;;1.0;45.0;;3.0;3.0;1.0
01;9.0;;;1.0;17.0;;10.0;2.0;2.0
02;9.0;;;1.0;17.0;;10.0;2.0;2.0
03;9.0;;;1.0;17.0;;10.0;2.0;2.0
04;9.0;;;1.0;17.0;;10.0;2.0;2.0
05;9.0;;;1.0;17.0;;10.0;2.0;2.0
06;9.0;;;1.0;17.0;;10.0;2.0;2.0
07;9.0;;;1.0;17.0;;10.0;2.0;2.0
08;9.0;;;1.0;17.0;;10.0;2.0;2.0
09;9.0;;;1.0;17.0;;10.0;2.0;2.0
01;9.0;;;1.0;;;10.0;9.0;2.0
02;9.0;;;1.0;;;10.0;9.0;2.0
03;9.0;;;1.0;;;10.0;9.0;2.0
04;9.0;;;1.0;;;10.0;9.0;2.0
05;9.0;;;1.0;;;10.0;9.0;2.0
06;9.0;;;1.0;;;10.0;9.0;2.0
07;9.0;;;1.0;;;10.0;9.0;2.0
08;9.0;;;1.0;;;10.0;9.0;2.0
09;9.0;;;1.0;;;10.0;9.0;2.0
01;9.0;;;1.0;10.0;;10.0;3.0;1.0
02;9.0;;;1.0;10.0;;10.0;3.0;1.0
03;9.0;;;1.0;10.0;;10.0;3.0;1.0
04;9.0;;;1.0;10.0;;10.0;3.0;1.0
05;9.0;;;1.0;10.0;;10.0;3.0;1.0
06;9.0;;;1.0;10.0;;10.0;3.0;1.0
07;9.0;;;1.0;10.0;;10.0;3.0;1.0
08;9.0;;;1.0;10.0;;10.0;3.0;1.0
09;9.0;;;1.0;10.0;;10.0;3.0;1.0
01;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
02;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
03;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
04;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
05;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
06;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
07;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
08;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
09;11.0;;;1.0;17.0;17.0;10.0;2.0;3.0
01;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
02;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
03;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
04;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
05;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
06;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
07;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
08;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
09;8.0;;35.0;1.0;35.0;;10.0;3.0;2.0
01;8.0;;;1.0;;;12.0;;2.0
02;8.0;;;1.0;;;12.0;;2.0
03;8.0;;;1.0;;;12.0;;2.0
04;8.0;;;1.0;;;12.0;;2.0
05;8.0;;;1.0;;;12.0;;2.0
06;8.0;;;1.0;;;12.0;;2.0
07;8.0;;;1.0;;;12.0;;2.0
08;8.0;;;1.0;;;12.0;;2.0
09;8.0;;;1.0;;;12.0;;2.0
01;8.0;;;1.0;10.0;;10.0;3.0;2.0
02;8.0;;;1.0;10.0;;10.0;3.0;2.0
03;8.0;;;1.0;10.0;;10.0;3.0;2.0
04;8.0;;;1.0;10.0;;10.0;3.0;2.0
05;8.0;;;1.0;10.0;;10.0;3.0;2.0
06;8.0;;;1.0;10.0;;10.0;3.0;2.0
07;8.0;;;1.0;10.0;;10.0;3.0;2.0
08;8.0;;;1.0;10.0;;10.0;3.0;2.0
09;8.0;;;1.0;10.0;;10.0;3.0;2.0
01;4.0;;;1.0;30.0;;3.0;3.0;2.0
02;4.0;;;1.0;30.0;;3.0;3.0;2.0
03;4.0;;;1.0;30.0;;3.0;3.0;2.0
04;4.0;;;1.0;30.0;;3.0;3.0;2.0
05;4.0;;;1.0;30.0;;3.0;3.0;2.0
06;4.0;;;1.0;30.0;;3.0;3.0;2.0
07;4.0;;;1.0;30.0;;3.0;3.0;2.0
08;4.0;;;1.0;30.0;;3.0;3.0;2.0
09;4.0;;;1.0;30.0;;3.0;3.0;2.0
01;8.0;;;1.0;7.0;;10.0;1.0;2.0
02;8.0;;;1.0;7.0;;10.0;1.0;2.0
03;8.0;;;1.0;7.0;;10.0;1.0;2.0
04;8.0;;;1.0;7.0;;10.0;1.0;2.0
05;8.0;;;1.0;7.0;;10.0;1.0;2.0
06;8.0;;;1.0;7.0;;10.0;1.0;2.0
07;8.0;;;1.0;7.0;;10.0;1.0;2.0
08;8.0;;;1.0;7.0;;10.0;1.0;2.0
09;8.0;;;1.0;7.0;;10.0;1.0;2.0
01;8.0;;;1.0;37.0;;3.0;3.0;1.0
02;8.0;;;1.0;37.0;;3.0;3.0;1.0
03;8.0;;;1.0;37.0;;3.0;3.0;1.0
04;8.0;;;1.0;37.0;;3.0;3.0;1.0
05;8.0;;;1.0;37.0;;3.0;3.0;1.0
06;8.0;;;1.0;37.0;;3.0;3.0;1.0
07;8.0;;;1.0;37.0;;3.0;3.0;1.0
08;8.0;;;1.0;37.0;;3.0;3.0;1.0
09;8.0;;;1.0;37.0;;3.0;3.0;1.0
